strategy,pt,net_benefit,net_benefit_treat_all,beats_both
single best (lightgbm_n800_leaves15_lr0.01),0.2369230769230769,0.10081203645786793,-0.061818648914306135,True
single best (lightgbm_n800_leaves15_lr0.01),0.2388963210702341,0.1005814533094867,-0.06457152935926566,True
single best (lightgbm_n800_leaves15_lr0.01),0.24086956521739128,0.10034967142943269,-0.0673387211925636,True
single best (lightgbm_n800_leaves15_lr0.01),0.24284280936454847,0.09873163989433575,-0.07012033630587963,True
single best (lightgbm_n800_leaves15_lr0.01),0.24481605351170566,0.09894643606358677,-0.07291648776035467,True
single best (lightgbm_n800_leaves15_lr0.01),0.24678929765886284,0.0973307646012383,-0.07572728980190965,True
single best (lightgbm_n800_leaves15_lr0.01),0.24876254180602003,0.09709892311816991,-0.07855285787680563,True
single best (lightgbm_n800_leaves15_lr0.01),0.25073578595317725,0.09686586049083504,-0.0813933086474494,True
single best (lightgbm_n800_leaves15_lr0.01),0.2527090301003344,0.09709994217835845,-0.08424876000845002,True
single best (lightgbm_n800_leaves15_lr0.01),0.2546822742474916,0.09686931509897283,-0.08711933110293066,True
single best (lightgbm_n800_leaves15_lr0.01),0.2566555183946488,0.09663746359794735,-0.09000514233909876,True
single best (lightgbm_n800_leaves15_lr0.01),0.258628762541806,0.09640437789846827,-0.09290631540708302,True
single best (lightgbm_n800_leaves15_lr0.01),0.26060200668896316,0.09617004811935566,-0.09582297329603798,True
single best (lightgbm_n800_leaves15_lr0.01),0.2625752508361204,0.0931643811711739,-0.09875524031152469,True
single best (lightgbm_n800_leaves15_lr0.01),0.2645484949832776,0.0929275331647853,-0.10170324209317003,True
single best (lightgbm_n800_leaves15_lr0.01),0.26652173913043475,0.09268941079494981,-0.10466710563261175,True
single best (lightgbm_n800_leaves15_lr0.01),0.26849498327759197,0.09245000374883229,-0.10764695929173415,True
single best (lightgbm_n800_leaves15_lr0.01),0.27046822742474913,0.0922093016020206,-0.11064293282119878,True
single best (lightgbm_n800_leaves15_lr0.01),0.27244147157190635,0.09058225226576601,-0.11365515737927775,True
single best (lightgbm_n800_leaves15_lr0.01),0.2744147157190635,0.09086274777687903,-0.11668376555099366,True
single best (lightgbm_n800_leaves15_lr0.01),0.2763879598662207,0.08923826043492712,-0.11972889136757295,True
single best (lightgbm_n800_leaves15_lr0.01),0.2783612040133779,0.08899750516638408,-0.12279067032621807,True
single best (lightgbm_n800_leaves15_lr0.01),0.2803344481605351,0.08875542964866881,-0.1258692394102058,True
single best (lightgbm_n800_leaves15_lr0.01),0.28230769230769226,0.08712698144074012,-0.1289647371093158,True
single best (lightgbm_n800_leaves15_lr0.01),0.2842809364548495,0.08688223263520335,-0.13207730344059856,True
single best (lightgbm_n800_leaves15_lr0.01),0.28625418060200664,0.08663613054917116,-0.1352070799694863,True
single best (lightgbm_n800_leaves15_lr0.01),0.28822742474916385,0.08556448545725895,-0.13835420983125687,True
single best (lightgbm_n800_leaves15_lr0.01),0.29020066889632107,0.08393601098896653,-0.14151883775285343,True
single best (lightgbm_n800_leaves15_lr0.01),0.29217391304347823,0.08369122081033438,-0.14470111007507128,True
single best (lightgbm_n800_leaves15_lr0.01),0.29414715719063544,0.08344506198725407,-0.14790117477511536,True
single best (lightgbm_n800_leaves15_lr0.01),0.2961204013377926,0.08319752300922159,-0.1511191814895376,True
single best (lightgbm_n800_leaves15_lr0.01),0.2980936454849498,0.08294859223629665,-0.1543552815375618,True
single best (lightgbm_n800_leaves15_lr0.01),0.300066889632107,0.08269825789727821,-0.15760962794480163,True
single best (lightgbm_n800_leaves15_lr0.01),0.3020401337792642,0.0824465080878489,-0.16088237546738263,True
single best (lightgbm_n800_leaves15_lr0.01),0.30401337792642136,0.08279832969712782,-0.16417368061647322,True
single best (lightgbm_n800_leaves15_lr0.01),0.3059866220735786,0.08254937084766198,-0.16748370168323493,True
single best (lightgbm_n800_leaves15_lr0.01),0.30795986622073573,0.0822989922637946,-0.17081259876419905,True
single best (lightgbm_n800_leaves15_lr0.01),0.30993311036789295,0.08204718176634719,-0.17416053378707938,True
single best (lightgbm_n800_leaves15_lr0.01),0.3119063545150501,0.08242175329807382,-0.1775276705370277,True
single best (lightgbm_n800_leaves15_lr0.01),0.3138795986622073,0.0821728307710796,-0.18091417468334434,True
single best (lightgbm_n800_leaves15_lr0.01),0.31585284280936454,0.08192247233979397,-0.1843202138066489,True
single best (lightgbm_n800_leaves15_lr0.01),0.3178260869565217,0.08231595896251649,-0.18774595742652392,True
single best (lightgbm_n800_leaves15_lr0.01),0.3197993311036789,0.0820685811448569,-0.1911915770296395,True
single best (lightgbm_n800_leaves15_lr0.01),0.3217725752508361,0.08181976387838408,-0.19465724609836813,True
single best (lightgbm_n800_leaves15_lr0.01),0.3237458193979933,0.08156949456258168,-0.1981431401399015,True
single best (lightgbm_n800_leaves15_lr0.01),0.32571906354515046,0.08198682049941186,-0.20164943671587757,True
single best (lightgbm_n800_leaves15_lr0.01),0.32769230769230767,0.08173963754381738,-0.20517631547253054,True
