strategy,threshold,tp,tn,fp,fn,misclass_rate,accuracy,sensitivity,specificity,ppv,npv,lr_plus,lr_minus
ensemble (top 5),0.031458873471335295,131,343,242,6,0.34349030470914127,0.6565096952908587,0.9562043795620438,0.5863247863247864,0.3512064343163539,0.9828080229226361,2.3114857935694038,0.07469515439126632
ensemble (top 5),0.03150756121851219,130,343,242,7,0.3448753462603878,0.6551246537396123,0.948905109489051,0.5863247863247864,0.34946236559139787,0.98,2.2938408638474996,0.0871443467898109
ensemble (top 5),0.031576673612319264,130,344,241,7,0.34349030470914127,0.6565096952908587,0.948905109489051,0.588034188034188,0.3504043126684636,0.98005698005698,2.303358875730684,0.08689102020030563
ensemble (top 5),0.031665542849327696,130,345,240,7,0.34210526315789475,0.6578947368421053,0.948905109489051,0.5897435897435898,0.35135135135135137,0.9801136363636364,2.312956204379562,0.08663916217073953
ensemble (top 5),0.031772880984706535,130,346,239,7,0.3407202216066482,0.6592797783933517,0.948905109489051,0.5914529914529915,0.3523035230352303,0.9801699716713881,2.3226338454020707,0.08638875996793392
ensemble (top 5),0.03215251649787404,130,347,238,7,0.33933518005540164,0.6606648199445984,0.948905109489051,0.5931623931623932,0.3532608695652174,0.980225988700565,2.332392811139054,0.0861398010054903
ensemble (top 5),0.03215767641242332,130,348,237,7,0.3379501385041551,0.6620498614958449,0.948905109489051,0.5948717948717949,0.3542234332425068,0.9802816901408451,2.342234131017278,0.08589227284168142
ensemble (top 5),0.03251549669817817,130,349,236,7,0.3365650969529086,0.6634349030470914,0.948905109489051,0.5965811965811966,0.3551912568306011,0.9803370786516854,2.352158851911419,0.08564616317737862
ensemble (top 5),0.03270651930495137,130,350,235,7,0.33518005540166207,0.6648199445983379,0.948905109489051,0.5982905982905983,0.3561643835616438,0.9803921568627451,2.362168038515297,0.08540145985401468
ensemble (top 5),0.032734639937404345,130,351,234,7,0.3337950138504155,0.6662049861495845,0.948905109489051,0.6,0.35714285714285715,0.9804469273743017,2.3722627737226274,0.0851581508515816
ensemble (top 5),0.03282925923404559,130,352,233,7,0.33240997229916897,0.6675900277008311,0.948905109489051,0.6017094017094017,0.3581267217630854,0.9805013927576601,2.3824441590175742,0.08491622428666233
ensemble (top 5),0.03296379428726716,130,353,232,7,0.33102493074792244,0.6689750692520775,0.948905109489051,0.6034188034188034,0.35911602209944754,0.9805555555555555,2.3927133148754085,0.08467566841049615
ensemble (top 5),0.03304783292117804,130,354,231,7,0.3296398891966759,0.6703601108033241,0.948905109489051,0.6051282051282051,0.3601108033240997,0.9806094182825484,2.4030713811735707,0.08443647160707667
ensemble (top 5),0.033199277968116156,130,355,230,7,0.32825484764542934,0.6717451523545707,0.948905109489051,0.6068376068376068,0.3611111111111111,0.9806629834254144,2.4135195176134556,0.08419862239128209
ensemble (top 5),0.03330424915678145,129,355,230,8,0.3296398891966759,0.6703601108033241,0.9416058394160584,0.6068376068376068,0.3593314763231198,0.977961432506887,2.394953982862583,0.09622699701860807
ensemble (top 5),0.03362493044321215,129,356,229,8,0.32825484764542934,0.6717451523545707,0.9416058394160584,0.6085470085470085,0.36033519553072624,0.978021978021978,2.4054122971982275,0.09595669646518501
ensemble (top 5),0.03383644577744199,129,357,228,8,0.3268698060941828,0.6731301939058172,0.9416058394160584,0.6102564102564103,0.36134453781512604,0.9780821917808219,2.415962351133308,0.09568791020057664
ensemble (top 5),0.034381565423158775,129,358,227,8,0.3254847645429363,0.6745152354570637,0.9416058394160584,0.611965811965812,0.36235955056179775,0.9781420765027322,2.426605357085437,0.0954206255352119
ensemble (top 5),0.03448685112634958,129,359,226,8,0.32409972299168976,0.6759002770083102,0.9416058394160584,0.6136752136752137,0.36338028169014086,0.9782016348773842,2.437342548930948,0.0951548299209077
ensemble (top 5),0.034877942836969635,129,360,225,8,0.32271468144044324,0.6772853185595568,0.9416058394160584,0.6153846153846154,0.3644067796610169,0.9782608695652174,2.448175182481752,0.09489051094890517
ensemble (top 5),0.03491280767270845,129,362,223,8,0.31994459833795014,0.6800554016620499,0.9416058394160584,0.6188034188034188,0.3664772727272727,0.9783783783783784,2.4701319105757586,0.09436625398233664
ensemble (top 5),0.03499696168191473,129,363,222,8,0.3185595567867036,0.6814404432132963,0.9416058394160584,0.6205128205128205,0.36752136752136755,0.9784366576819407,2.4812586308936675,0.09410629185015389
ensemble (top 5),0.03514312312555484,129,364,221,8,0.3171745152354571,0.682825484764543,0.9416058394160584,0.6222222222222222,0.36857142857142855,0.978494623655914,2.4924860455130955,0.09384775808133479
ensemble (top 5),0.03533236420083519,128,364,221,9,0.3185595567867036,0.6814404432132963,0.9343065693430657,0.6222222222222222,0.3667621776504298,0.9758713136729222,2.4731644482610564,0.10557872784150162
ensemble (top 5),0.03544215379138402,128,365,220,9,0.3171745152354571,0.682825484764543,0.9343065693430657,0.6239316239316239,0.367816091954023,0.9759358288770054,2.484406104844061,0.10528947105289475
ensemble (top 5),0.0354616441498194,128,366,219,9,0.3157894736842105,0.6842105263157895,0.9343065693430657,0.6256410256410256,0.3688760806916426,0.976,2.495750424957504,0.10500179490247702
ensemble (top 5),0.03546558282402279,128,367,218,9,0.314404432132964,0.685595567867036,0.9343065693430657,0.6273504273504273,0.3699421965317919,0.976063829787234,2.5071988214022634,0.10471568646950023
ensemble (top 5),0.03574122689530353,128,368,217,9,0.31301939058171746,0.6869806094182825,0.9343065693430657,0.629059829059829,0.3710144927536232,0.9761273209549072,2.5187527330216284,0.1044311329736592
ensemble (top 5),0.03590374250739844,127,368,217,10,0.314404432132964,0.685595567867036,0.927007299270073,0.629059829059829,0.3691860465116279,0.9735449735449735,2.4990749772948972,0.11603459219295466
ensemble (top 5),0.03601892027306068,127,369,216,10,0.31301939058171746,0.6869806094182825,0.927007299270073,0.6307692307692307,0.37026239067055394,0.9736147757255936,2.5106447688564475,0.11572013530354286
ensemble (top 5),0.0360790658943579,127,370,215,10,0.31163434903047094,0.6883656509695291,0.927007299270073,0.6324786324786325,0.3713450292397661,0.9736842105263158,2.5223221863860124,0.11540737818110085
ensemble (top 5),0.03623225683347905,126,370,215,11,0.31301939058171746,0.6869806094182825,0.9197080291970803,0.6324786324786325,0.36950146627565983,0.9711286089238845,2.5024613817687995,0.1269481159992109
ensemble (top 5),0.03629284525792319,126,371,214,11,0.31163434903047094,0.6883656509695291,0.9197080291970803,0.6341880341880342,0.37058823529411766,0.9712041884816754,2.5141551265434203,0.12660593778897045
ensemble (top 5),0.037023153523118836,126,372,213,11,0.31024930747922436,0.6897506925207757,0.9197080291970803,0.6358974358974359,0.37168141592920356,0.9712793733681462,2.5259586717384597,0.126265599246527
ensemble (top 5),0.037157807855372094,125,372,213,12,0.31163434903047094,0.6883656509695291,0.9124087591240876,0.6358974358974359,0.3698224852071006,0.96875,2.5059113806929165,0.13774429008712033
ensemble (top 5),0.037525460979045855,125,373,212,12,0.31024930747922436,0.6897506925207757,0.9124087591240876,0.6376068376068376,0.37091988130563797,0.9688311688311688,2.517731717394298,0.1373750024461361
ensemble (top 5),0.037662253085554195,125,374,211,12,0.30886426592797783,0.6911357340720221,0.9124087591240876,0.6393162393162393,0.37202380952380953,0.9689119170984456,2.529664095201854,0.13700768960537102
ensemble (top 5),0.03885892706909132,125,375,210,12,0.3074792243767313,0.6925207756232687,0.9124087591240876,0.6410256410256411,0.373134328358209,0.9689922480620154,2.541710114702816,0.13664233576642335
ensemble (top 5),0.03896966351041429,125,376,209,12,0.3060941828254848,0.6939058171745152,0.9124087591240876,0.6427350427350428,0.37425149700598803,0.9690721649484536,2.553871407117662,0.13627892529895946
ensemble (top 5),0.039303889158082576,125,377,208,12,0.3047091412742382,0.6952908587257618,0.9124087591240876,0.6444444444444445,0.37537537537537535,0.9691516709511568,2.5661496350364965,0.13591744273848477
ensemble (top 5),0.039368176165007665,125,378,207,12,0.3033240997229917,0.6966759002770083,0.9124087591240876,0.6461538461538462,0.37650602409638556,0.9692307692307692,2.5785464931767694,0.13555787278415016
ensemble (top 5),0.03943789580067756,125,379,206,12,0.30193905817174516,0.6980609418282548,0.9124087591240876,0.6478632478632479,0.3776435045317221,0.969309462915601,2.5910637091630644,0.13520020029659302
ensemble (top 5),0.03964135764938507,125,380,205,12,0.30055401662049863,0.6994459833795014,0.9124087591240876,0.6495726495726496,0.3787878787878788,0.9693877551020408,2.6037030443297136,0.13484441029581254
ensemble (top 5),0.03974143004311217,125,381,204,12,0.29916897506925205,0.7008310249307479,0.9124087591240876,0.6512820512820513,0.3799392097264438,0.9694656488549618,2.616466294547016,0.13449048795907811
ensemble (top 5),0.03992508128728989,125,382,203,12,0.29778393351800553,0.7022160664819945,0.9124087591240876,0.652991452991453,0.38109756097560976,0.9695431472081218,2.629355291071878,0.1341384186188711
ensemble (top 5),0.0399835962421318,125,383,202,12,0.296398891966759,0.7036011080332409,0.9124087591240876,0.6547008547008547,0.382262996941896,0.9696202531645569,2.642371901423719,0.13378818776085838
ensemble (top 5),0.04000085057397198,125,384,201,12,0.2950138504155125,0.7049861495844876,0.9124087591240876,0.6564102564102564,0.3834355828220859,0.9696969696969697,2.655518030286524,0.13343978102189782
ensemble (top 5),0.040101364451942845,125,385,200,12,0.29362880886426596,0.706371191135734,0.9124087591240876,0.6581196581196581,0.38461538461538464,0.9697732997481109,2.668795620437956,0.1330931841880747
ensemble (top 5),0.04026757255442094,125,386,199,12,0.2922437673130194,0.7077562326869806,0.9124087591240876,0.6598290598290598,0.38580246913580246,0.9698492462311558,2.6822066537064884,0.13274838319276883
ensemble (top 5),0.04045697293450608,125,387,198,12,0.29085872576177285,0.7091412742382271,0.9124087591240876,0.6615384615384615,0.38699690402476783,0.9699248120300752,2.6957531519575313,0.13240536411475132
ensemble (top 5),0.04050155382030261,125,388,197,12,0.2894736842105263,0.7105263157894737,0.9124087591240876,0.6632478632478632,0.38819875776397517,0.97,2.7094371781096,0.13206411317631125
ensemble (top 5),0.0408574936184509,125,389,196,12,0.2880886426592798,0.7119113573407202,0.9124087591240876,0.6649572649572649,0.3894080996884735,0.970074812967581,2.723260837181588,0.1317246167414107
ensemble (top 5),0.04184358753701628,125,390,195,12,0.2867036011080332,0.7132963988919667,0.9124087591240876,0.6666666666666666,0.390625,0.9701492537313433,2.7372262773722627,0.13138686131386862
ensemble (top 5),0.04196436649474615,125,391,194,12,0.2853185595567867,0.7146814404432134,0.9124087591240876,0.6683760683760683,0.39184952978056425,0.9702233250620348,2.7513356911731504,0.1310508335355723
ensemble (top 5),0.04245287992781553,125,392,193,12,0.2839335180055402,0.7160664819944598,0.9124087591240876,0.67008547008547,0.39308176100628933,0.9702970297029703,2.765591316516016,0.13071652018471625
ensemble (top 5),0.042647367977512445,125,393,192,12,0.28254847645429365,0.7174515235457064,0.9124087591240876,0.6717948717948717,0.3943217665615142,0.9703703703703703,2.7799954379562037,0.1303839081740681
ensemble (top 5),0.04296566544305393,124,393,192,13,0.2839335180055402,0.7160664819944598,0.9051094890510949,0.6717948717948717,0.3924050632911392,0.9679802955665024,2.757755474452554,0.14124923385524044
ensemble (top 5),0.043872599657913146,124,394,191,13,0.28254847645429365,0.7174515235457064,0.9051094890510949,0.6735042735042736,0.39365079365079364,0.9680589680589681,2.772193984790003,0.14089073326169918
ensemble (top 5),0.04388981856799075,124,395,190,13,0.28116343490304707,0.7188365650969529,0.9051094890510949,0.6752136752136753,0.39490445859872614,0.9681372549019608,2.7867844794467924,0.14053404786103665
ensemble (top 5),0.04402337159040022,124,396,189,13,0.27977839335180055,0.7202216066481995,0.9051094890510949,0.676923076923077,0.3961661341853035,0.9682151589242054,2.8015293708724367,0.14017916390179164
