rank,model,status,seconds,auroc,auprc,brier_score,accuracy,sensitivity,specificity,ppv,npv,f1,threshold,tp,tn,fp,fn,se,z_vs_baseline,p_one_tailed
201,xgboost_n500_d11_lr0.05,ok,4.17,0.8779711772412502,0.6470263599324755,0.1074256134214614,0.8545706371191135,0.4671532846715328,0.9452991452991452,0.6666666666666666,0.8833865814696485,0.5493562231759657,0.5,64.0,553.0,32.0,73.0,0.01964918663721463,2.2675978807377053,0.01167686348860053
202,xgboost_n500_d5_lr0.05,ok,3.67,0.8779462224717699,0.6456447712887181,0.1092173242505308,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.019650867503844545,2.2667013329891907,0.011704238469438577
203,xgboost_n300_d9_lr0.1,ok,2.44,0.8778963129328093,0.6396596023502291,0.1100921898718577,0.8545706371191135,0.4963503649635036,0.9384615384615383,0.6538461538461539,0.8883495145631068,0.5643153526970954,0.5,68.0,549.0,36.0,69.0,0.0196542283882485,2.2649084560192816,0.011759148880361558
204,catboost_n500_d7_lr0.001,ok,20.06,0.8778963129328092,0.6439421395171417,0.1462811829661006,0.8365650969529086,0.1532846715328467,0.9965811965811966,0.9130434782608696,0.8340486409155937,0.2625,0.5,21.0,583.0,2.0,116.0,0.01965422838824848,2.264908456019279,0.01175914888036167
205,xgboost_n200_d9_lr0.1,ok,1.84,0.8778339260091085,0.6480195668062313,0.1077039348202303,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.01965842790287307,2.262667769340576,0.011828088543238247
206,catboost_plain_n200_d8_lr0.1,ok,14.03,0.8777777777777778,0.639595428953506,0.1097982151122173,0.8573407202216067,0.4014598540145985,0.964102564102564,0.7236842105263158,0.8730650154798761,0.5164319248826291,0.5,55.0,564.0,21.0,82.0,0.019662205955542817,2.2606515401482614,0.011890421748668611
207,catboost_n200_d8_lr0.1,ok,14.5,0.8777777777777778,0.639595428953506,0.1097982151122173,0.8573407202216067,0.4014598540145985,0.964102564102564,0.7236842105263158,0.8730650154798761,0.5164319248826291,0.5,55.0,564.0,21.0,82.0,0.019662205955542817,2.2606515401482614,0.011890421748668611
208,xgboost_n500_d7_lr0.05,ok,4.04,0.8777278682388172,0.639516029174993,0.1091361526904959,0.8545706371191135,0.4817518248175182,0.941880341880342,0.66,0.8858520900321544,0.5569620253164557,0.5,66.0,551.0,34.0,71.0,0.019665563023925744,2.258859645468006,0.011946058454830877
209,rf_n300_d10_balanced,ok,4.32,0.8776966747769669,0.6473227825426853,0.1116390019723608,0.8476454293628809,0.5766423357664233,0.9111111111111112,0.6030534351145038,0.9018612521150592,0.5895522388059702,0.5,79.0,533.0,52.0,58.0,0.019667660618082564,2.257739858925007,0.011980941334506223
210,adaboost_n50_lr0.3,ok,1.2,0.8776904360845966,0.6231139739710175,0.1366058840928888,0.8476454293628809,0.3357664233576642,0.9675213675213676,0.7076923076923077,0.8614916286149162,0.4554455445544554,0.5,46.0,566.0,19.0,91.0,0.01966808008398318,2.2575159152396522,0.011987928075804066
