strategy,pt,net_benefit,net_benefit_treat_all,beats_both
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.10668896321070233,0.08999979377963875,0.0577326971677231,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.10866220735785952,0.08908842362265645,0.05564670523994912,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1106354515050167,0.08905879052502944,0.05355145687988433,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.11260869565217389,0.08907732826931536,0.05144689033844209,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.11458193979933108,0.08874277633403281,0.04933294331607935,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.11655518394648827,0.08699214821256523,0.04720955295664904,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.11852842809364547,0.08703906327175519,0.04507665584117028,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.12050167224080266,0.08670627134989278,0.042934187981514396,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.12247491638795985,0.08562758838633595,0.0407820848140058,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.12444816053511704,0.08546507601438577,0.038620281192936465,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.12642140468227422,0.08444881118000469,0.0364487113839925,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1283946488294314,0.08414875775277965,0.03426730905759119,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.13036789297658863,0.08421426554942453,0.03207600728212767,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.13234113712374582,0.08330643234181088,0.029874738517129212,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.134314381270903,0.08170762220272844,0.027663434606316012,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1362876254180602,0.08048293062828896,0.025442026770566672,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.13826086956521738,0.07952644396934708,0.023210445600787222,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.14023411371237457,0.07886725995518573,0.020968621050682063,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.14220735785953176,0.07666361607672195,0.01871648242942467,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.14418060200668895,0.07669300420949765,0.01645395839422739,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.14615384615384613,0.07702038733846338,0.014180976942807844,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.14812709030100332,0.07698412642814802,0.011897465405751012,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.15010033444816054,0.07597297697635748,0.009603350438764507,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.15207357859531773,0.07600271444167239,0.007298558014825984,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.15404682274247491,0.07507503841710546,0.004983013416220594,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1560200668896321,0.07304648945375074,0.002656641226466555,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1579933110367893,0.07224275314354826,0.0003193653221275905,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.15996655518394648,0.07238792737034899,-0.0020288911354905403,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.16193979933110367,0.07196337855368719,-0.004388205708760334,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.16391304347826086,0.07138405008659617,-0.006758656692272325,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.16588628762541804,0.07145652280756982,-0.009140323121496208,True
