name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"ExtraTrees(n=50,depth=15,criterion=entropy)",0.8418,0.0302,0.9619,0.9249,0.865,0.86,ok
"ExtraTrees(n=100,depth=15,criterion=entropy)",0.8418,0.0252,0.9617,0.9247,0.8642,1.55,ok
"RandomForest(n=100,depth=5,criterion=gini)",0.8417,0.0245,0.9622,0.9248,0.8642,2.12,ok
"LightGBM(n=100,depth=3,lr=0.05)",0.8416,0.0225,0.9615,0.9291,0.8751,0.25,ok
"LightGBM(n=100,depth=7,lr=0.1)",0.8416,0.0245,0.9618,0.9297,0.8766,0.51,ok
"RandomForest(n=50,depth=5,criterion=entropy)",0.8415,0.0275,0.962,0.9236,0.8627,1.07,ok
"XGBoost(n=50,depth=5,lr=0.05)",0.8415,0.0254,0.9623,0.9326,0.8805,0.63,ok
"CatBoost(iter=100,depth=8,lr=0.01)",0.8415,0.0173,0.9625,0.9214,0.858,4.54,ok
"XGBoost(n=50,depth=6,lr=0.1)",0.8412,0.022,0.9624,0.9306,0.8782,0.68,ok
"CatBoost(iter=200,depth=4,lr=0.05)",0.8412,0.0262,0.9629,0.9258,0.8696,1.55,ok
"CatBoost(iter=100,depth=6,lr=0.01)",0.8409,0.0184,0.9615,0.9242,0.8627,1.66,ok
"CatBoost(iter=100,depth=8,lr=0.1)",0.8408,0.0144,0.9612,0.9282,0.8728,4.24,ok
"ExtraTrees(n=200,depth=None,criterion=gini)",0.8407,0.0271,0.9614,0.9248,0.865,2.8,ok
"ExtraTrees(n=200,depth=5,criterion=gini)",0.8407,0.0207,0.9618,0.9164,0.8464,2.72,ok
"LightGBM(n=50,depth=7,lr=0.05)",0.8407,0.0284,0.9603,0.9277,0.8728,0.34,ok
"CatBoost(iter=300,depth=4,lr=0.05)",0.8404,0.0286,0.9631,0.9274,0.8728,2.24,ok
"XGBoost(n=100,depth=4,lr=0.1)",0.8402,0.0253,0.9615,0.9287,0.8751,0.69,ok
"ExtraTrees(n=100,depth=10,criterion=gini)",0.8401,0.025,0.9623,0.9238,0.8619,1.53,ok
"ExtraTrees(n=200,depth=5,criterion=entropy)",0.8401,0.0184,0.962,0.9164,0.8464,2.79,ok
"CatBoost(iter=200,depth=4,lr=0.01)",0.8397,0.0188,0.9611,0.922,0.8596,1.58,ok
"ExtraTrees(n=50,depth=10,criterion=entropy)",0.8396,0.0227,0.9619,0.9237,0.8619,0.85,ok
"XGBoost(n=50,depth=4,lr=0.1)",0.8396,0.0219,0.9622,0.9285,0.8743,0.46,ok
"LightGBM(n=100,depth=5,lr=0.1)",0.8396,0.0286,0.9607,0.9283,0.8743,0.38,ok
"LightGBM(n=200,depth=5,lr=0.01)",0.8396,0.0264,0.9602,0.928,0.872,0.7,ok
"LightGBM(n=100,depth=3,lr=0.1)",0.8395,0.0199,0.9613,0.927,0.872,0.27,ok
"CatBoost(iter=300,depth=6,lr=0.05)",0.8395,0.0212,0.9625,0.9245,0.8665,4.33,ok
"LightGBM(n=50,depth=3,lr=0.05)",0.8394,0.0225,0.9607,0.9296,0.8751,0.2,ok
"LightGBM(n=50,depth=7,lr=0.1)",0.8392,0.0216,0.9604,0.9275,0.8728,0.32,ok
"RandomForest(n=100,depth=10,criterion=gini)",0.8391,0.0309,0.9608,0.9256,0.8673,2.02,ok
"CatBoost(iter=200,depth=6,lr=0.05)",0.8388,0.0204,0.9615,0.9249,0.8673,3.1,ok
"LightGBM(n=200,depth=3,lr=0.01)",0.8387,0.0228,0.9601,0.9255,0.8673,0.91,ok
"LogisticRegression(C=0.01,solver=liblinear)",0.8385,0.006,0.9613,0.92,0.8611,0.14,ok
"GradBoost(n=100,lr=0.1,depth=2)",0.8383,0.018,0.9612,0.924,0.8666,3.54,ok
"CatBoost(iter=100,depth=4,lr=0.05)",0.8383,0.0224,0.9605,0.9247,0.8665,0.91,ok
"CatBoost(iter=100,depth=6,lr=0.05)",0.8383,0.024,0.9601,0.926,0.8689,1.66,ok
"RandomForest(n=50,depth=10,criterion=entropy)",0.8382,0.0226,0.9605,0.9247,0.8658,1.11,ok
"XGBoost(n=50,depth=6,lr=0.05)",0.8382,0.0221,0.9615,0.9328,0.8813,0.86,ok
"LightGBM(n=200,depth=5,lr=0.1)",0.838,0.0269,0.9609,0.9277,0.8735,0.66,ok
"RandomForest(n=50,depth=5,criterion=gini)",0.8378,0.0208,0.9612,0.9264,0.8673,1.07,ok
"XGBoost(n=100,depth=3,lr=0.05)",0.8375,0.0196,0.9604,0.9319,0.8805,0.53,ok
"XGBoost(n=200,depth=4,lr=0.1)",0.8375,0.0244,0.9614,0.9283,0.8743,1.18,ok
"LightGBM(n=50,depth=3,lr=0.1)",0.8374,0.0198,0.961,0.9277,0.8728,0.2,ok
"LightGBM(n=200,depth=7,lr=0.01)",0.8373,0.0282,0.9598,0.9296,0.8751,1.0,ok
"CatBoost(iter=100,depth=8,lr=0.05)",0.8371,0.0249,0.9605,0.9246,0.8658,4.15,ok
"RandomForest(n=50,depth=10,criterion=gini)",0.8369,0.0314,0.961,0.9253,0.8673,1.16,ok
"XGBoost(n=200,depth=5,lr=0.01)",0.8368,0.0237,0.9603,0.9302,0.8759,1.88,ok
"ExtraTrees(n=100,depth=5,criterion=entropy)",0.8363,0.0169,0.9606,0.9159,0.8456,1.53,ok
"GradBoost(n=200,lr=0.05,depth=2)",0.8363,0.0202,0.9605,0.9249,0.8681,7.15,ok
"CatBoost(iter=100,depth=4,lr=0.01)",0.8361,0.0187,0.9595,0.9218,0.858,0.99,ok
"XGBoost(n=100,depth=4,lr=0.05)",0.8359,0.0243,0.9601,0.932,0.8805,0.69,ok
"XGBoost(n=200,depth=6,lr=0.01)",0.8359,0.0301,0.9595,0.9315,0.8782,2.37,ok
"XGBoost(n=100,depth=3,lr=0.1)",0.8358,0.0182,0.9591,0.9278,0.8735,0.54,ok
"ExtraTrees(n=100,depth=None,criterion=gini)",0.8357,0.026,0.9569,0.9235,0.8627,1.51,ok
"ExtraTrees(n=100,depth=15,criterion=gini)",0.8355,0.0237,0.9602,0.9205,0.8572,1.56,ok
"GradBoost(n=100,lr=0.05,depth=3)",0.8348,0.0133,0.9597,0.9295,0.8759,5.37,ok
"RandomForest(n=50,depth=15,criterion=entropy)",0.8347,0.0305,0.9588,0.9288,0.8735,1.07,ok
"XGBoost(n=50,depth=3,lr=0.05)",0.8347,0.0192,0.9591,0.9295,0.8751,0.4,ok
"XGBoost(n=50,depth=4,lr=0.05)",0.8347,0.023,0.9593,0.9334,0.8821,0.47,ok
"CatBoost(iter=100,depth=4,lr=0.1)",0.8347,0.0239,0.9575,0.9253,0.8689,0.89,ok
"AdaBoost(n=200,lr=0.5)",0.8346,0.0187,0.9598,0.925,0.8689,5.88,ok
"LightGBM(n=100,depth=-1,lr=0.01)",0.8346,0.0317,0.9599,0.9289,0.872,0.67,ok
"XGBoost(n=50,depth=3,lr=0.1)",0.8344,0.0186,0.9595,0.9319,0.8805,0.4,ok
