n,rep,sens,spec,dor,fp,n_neg,lrp,lrp_lo,lrp_hi,lrp_ratio,degenerate
1000,9,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,10,0.9873417721518988,0.17814726840855108,16.90751445086711,692,842,1.2013609424160387,1.1776166773386225,1.201951495767345,1.0206644648441277,True
1000,11,0.9936708860759493,0.21258907363420426,42.38763197586704,663,842,1.2619470378219446,1.2275659301462019,1.2722759081223218,1.0364216510723747,True
1000,12,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,13,0.9936708860759493,0.3194774346793349,73.70506108202403,573,842,1.4601586144431926,1.4046270372972403,1.4886168105395874,1.0597950708708832,True
1000,14,0.9936708860759493,0.28859857482185275,63.69115191986611,599,842,1.3967794425308002,1.3480321333282068,1.4193820127687014,1.0529289159185962,True
1000,15,0.10759493670886076,0.998812351543943,101.39716312056704,1,842,90.59493670886046,24.721583491900816,325.59328504489486,13.17040573681554,True
1000,16,0.0759493670886076,0.997624703087886,34.52054794520536,2,842,31.97468354430369,14.856798579257418,67.48871315098495,4.5426148029771705,True
1000,17,0.9936708860759493,0.39548693586698336,102.71316306483244,509,842,1.643754196612867,1.5681189502258839,1.6898128912377801,1.0776050445627015,True
1000,18,0.08860759493670886,0.996437054631829,27.189814814814724,3,842,24.869198312236204,13.74200580194979,44.13847421169905,3.2119382605293647,True
1000,19,0.05063291139240506,0.998812351543943,44.85333333333318,1,842,42.63291139240492,14.443540818673892,123.41279348727699,8.54449715873811,True
1000,20,0.1962025316455696,0.998812351543943,205.28346456692842,1,842,165.20253164556905,39.57555936592664,676.3168499047068,17.089255609789188,True
1000,21,0.06329113924050633,0.997624703087886,28.378378378378287,2,842,26.645569620253077,13.061194895385595,53.31028210369525,4.081577721692929,True
1000,22,0.12025316455696203,0.998812351543943,114.95683453237372,1,842,101.25316455696169,26.906702451049,373.68064831603704,13.888013553346761,True
1000,23,0.0949367088607595,0.997624703087886,44.05594405594392,2,842,39.96835443037962,17.487253468024086,89.58902368256284,5.1231043140295744,True
1000,24,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,25,0.056962025316455694,0.998812351543943,50.79865771812063,1,842,47.96202531645554,15.635274253099878,144.28905775555344,9.228431520921127,True
1000,26,0.9936708860759493,0.3016627078384798,67.81972789115609,588,842,1.4229096701971928,1.3713720857852254,1.447915540542666,1.0558152346477236,True
1000,27,0.0379746835443038,0.998812351543943,33.197368421052516,1,842,31.97468354430369,12.000936449867284,83.54899818410588,6.9618732282371045,True
1000,28,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
1000,29,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,30,0.12658227848101267,0.998812351543943,121.8840579710141,1,842,106.58227848101231,27.98969328506436,398.02993331460283,14.220589316961057,True
1000,31,0.0759493670886076,0.998812351543943,69.12328767123265,1,842,63.94936708860738,19.122127945915256,209.73946424654366,10.968416529779931,True
1000,32,0.15822784810126583,0.998812351543943,158.08270676691677,1,842,133.22784810126538,33.32300535108752,522.3838434951315,15.676372463748477,True
1000,33,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,34,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,35,0.0759493670886076,0.998812351543943,69.12328767123265,1,842,63.94936708860738,19.122127945915256,209.73946424654366,10.968416529779931,True
1000,36,0.056962025316455694,0.998812351543943,50.79865771812063,1,842,47.96202531645554,15.635274253099878,144.28905775555344,9.228431520921127,True
1000,37,0.9936708860759493,0.32660332541567694,76.1463844797174,567,842,1.4756100283526443,1.418414888682744,1.5055104962228685,1.0614034780902566,True
1000,38,0.9936708860759493,0.29453681710213775,65.5488215488212,594,842,1.4085368452457059,1.3585350420335598,1.432219068879389,1.0542378551645848,True
1000,39,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
1000,40,0.15822784810126583,0.997624703087886,78.94736842105236,2,842,66.61392405063269,25.890067253858046,168.08955574955854,6.492434110016089,True
1000,41,0.9936708860759493,0.3182897862232779,73.30313588850136,574,842,1.4576147841044413,1.4023566792337705,1.485836130272382,1.059527973357123,True
1000,42,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
1000,43,0.05063291139240506,0.998812351543943,44.85333333333318,1,842,42.63291139240492,14.443540818673892,123.41279348727699,8.54449715873811,True
1000,44,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,45,0.1518987341772152,0.998812351543943,150.6268656716413,1,842,127.89873417721476,32.26627234564306,497.1959360743064,15.409153271510249,True
1000,46,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,47,0.9936708860759493,0.2007125890736342,39.42496285289726,673,842,1.2431959674234017,1.2108315920256223,1.2518125885932803,1.033845331454476,True
1000,48,0.9936708860759493,0.33966745843230406,80.75899280575496,556,842,1.5048037519351607,1.4444530785343161,1.5374470402995073,1.0643800502398817,True
1000,49,0.10759493670886076,0.998812351543943,101.39716312056704,1,842,90.59493670886046,24.721583491900816,325.59328504489486,13.17040573681554,True
1000,50,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,51,0.9936708860759493,0.13539192399049882,24.585164835164708,728,842,1.1492731951592712,1.1273180571160513,1.149063328426473,1.0192893843695288,True
1000,52,0.12658227848101267,0.998812351543943,121.8840579710141,1,842,106.58227848101231,27.98969328506436,398.02993331460283,14.220589316961057,True
1000,53,0.9936708860759493,0.24703087885985747,51.507886435330946,634,842,1.3196701673122229,1.2791283679430339,1.3352437087015971,1.043869983783412,True
1000,54,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,55,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,56,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,57,0.9936708860759493,0.2992874109263658,67.05762711864371,590,842,1.4180862475863547,1.367064355101731,1.4426474214793088,1.0552885942022483,True
1000,58,0.056962025316455694,0.998812351543943,50.79865771812063,1,842,47.96202531645554,15.635274253099878,144.28905775555344,9.228431520921127,True
1000,59,0.15822784810126583,0.997624703087886,78.94736842105236,2,842,66.61392405063269,25.890067253858046,168.08955574955854,6.492434110016089,True
1000,60,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,61,0.10126582278481013,0.998812351543943,94.76056338028137,1,842,85.26582278480984,23.61853752850774,301.8845206869468,12.781677117923584,True
1000,62,0.13291139240506328,0.998812351543943,128.91240875912365,1,842,111.91139240506291,29.066826755787055,422.5662907582214,14.537751035175885,True
1000,63,0.9936708860759493,0.28978622327790976,64.06020066889599,598,842,1.3991151941069389,1.3501187831111297,1.4219320378101064,1.05319032339769,True
1000,64,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,65,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,66,0.0759493670886076,0.997624703087886,34.52054794520536,2,842,31.97468354430369,14.856798579257418,67.48871315098495,4.5426148029771705,True
1000,67,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,68,0.08227848101265822,0.998812351543943,75.39999999999974,1,842,69.27848101265799,20.26039917459824,232.32320422471932,11.466862139419138,True
1000,69,0.9936708860759493,0.20190023752969122,39.7172619047617,672,842,1.2450459614225438,1.212482094202447,1.2538318768542682,1.0341034171552204,True
1000,70,0.12025316455696203,0.998812351543943,114.95683453237372,1,842,101.25316455696169,26.906702451049,373.68064831603704,13.888013553346761,True
1000,71,0.2088607594936709,0.9857482185273159,18.259999999999938,12,842,14.655063291139191,11.266164134060586,18.695763065420326,1.6594612720844446,True
1000,72,0.10126582278481013,0.998812351543943,94.76056338028137,1,842,85.26582278480984,23.61853752850774,301.8845206869468,12.781677117923584,True
1000,73,0.06962025316455696,0.998812351543943,62.931972789115434,1,842,58.620253164556765,17.97276522719341,187.50996423218425,10.433005820855838,True
1000,74,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
1000,75,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,76,0.9936708860759493,0.30760095011876487,69.74785591766688,583,842,1.4351130121371345,1.3822692808172299,1.4612462874351275,1.0571357605308314,True
1000,77,0.13924050632911392,0.998812351543943,136.04411764705836,1,842,117.24050632911353,30.138439289457857,447.2789758669821,14.840814136763747,True
1000,78,0.12025316455696203,0.998812351543943,114.95683453237372,1,842,101.25316455696169,26.906702451049,373.68064831603704,13.888013553346761,True
1000,79,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,80,0.18354430379746836,0.998812351543943,189.06201550387536,1,842,154.54430379746785,37.50696491970245,624.5079272130276,16.650452217341986,True
1000,81,0.10759493670886076,0.998812351543943,101.39716312056704,1,842,90.59493670886046,24.721583491900816,325.59328504489486,13.17040573681554,True
1000,82,0.13291139240506328,0.998812351543943,128.91240875912365,1,842,111.91139240506291,29.066826755787055,422.5662907582214,14.537751035175885,True
